Station,,,,,,Ground Level outside Station,Mean,Annual Entry + Exit million,Line(s)[*],Opened[3],Usage[5]
Bruce Grove,533758,190115,51.59401125,-0.070384556,3,0,0,0,,,
Buckhurst Hill,541768,193957,51.62657665,0.046726986,5,40,134.9,2531,Central,November 21 1948,1.722
Burnt Oak,520303,190728,51.60255194,-0.264316276,4,51,147,4748,Northern,October 27 1924,3.644
Bush Hill Park,533696,195396,51.64148197,-0.069265963,5,0,0,0,,,
Bushey,511860,195318,51.64554421,-0.384707091,8,0,0,0,,,
Caledonian Road,530568,184899,51.54788546,-0.118346442,2,36,112.93,7928,Piccadilly,December 15 1906,4.93
Caledonian Road and Barnsbury,530800,184393,51.54328459,-0.115190439,2,0,0,0,,,
Cambridge Heath,534855,183250,51.53205977,-0.057188786,2,0,0,0,,,
Camden Road,529140,184191,51.54185125,-0.139188695,2,0,0,0,,,
Camden Town,528920,183976,51.53996937,-0.142437964,2,27,110.545,26254,Northern,June 22 1907,19.674
Canada Water,535399,179493,51.49816842,-0.050792717,2,5,86.675,13321,Jubilee,September 17 1999,10.611
Canary Wharf,537558,180153,51.50357841,-0.019452435,2,3,84.35,74908,Jubilee,September 17 1999,39.616
Canning Town,539454,181350,51.51387029,0.008320042,3,2,100,12249,DLR (Beckton & Woolwich Arsenal Branches),March 28 1994,7.835
Cannon Street,532623,180888,51.5113621,-0.090236119,1,11,104.4,7155,District[i],October 6 1884,3.933
Canonbury,532355,184979,51.5481884,-0.092559776,2,0,0,0,Circle,,
Canons Park,518208,191246,51.60765061,-0.294377158,5,65,170.1,2540,Jubilee[e],December 10 1932,1.646
Carpenders Park,511826,193386,51.62818676,-0.385814879,7,0,0,0,,,
Carshalton,527737,164858,51.36842639,-0.166383965,5,0,0,0,,,
Carshalton Beeches,527552,163625,51.35738686,-0.169481967,5,0,0,0,,,
Castle Bar Park,515853,181770,51.52297371,-0.331489665,4,0,0,0,,,
Catford,537245,173544,51.44426491,-0.026524112,3,0,0,0,,,
Catford Bridge,537363,173595,51.44469463,-0.024807489,3,0,0,0,,,
Chadwell Heath,547646,187611,51.56804686,0.128915537,5,0,0,0,,,
Chalfont and Latimer,499610,197550,51.66790755,-0.56105332,8,122,220.7,0,Metropolitan,July 8 1889,1.108
Chalk Farm,528126,184421,51.5441491,-0.153718653,2,32,118.61,6324,Northern,June 22 1907,5.393
Chancery Lane,531096,181642,51.51849403,-0.111947617,1,20,97.805,28574,Central,July 30 1900,14.789
Charing Cross,530234,180492,51.50835864,-0.124788531,1,12,87.2,34185,Bakerloo,March 10 1906,22.842
Charlton,541108,178387,51.48683498,0.030956045,3,0,0,0,Northern,,
Cheam,524444,163334,51.35546027,-0.214196925,5,110,210.2,0,,,
Chelsfield,546944,164021,51.35626457,0.108998479,6,0,0,0,,,
Chesham,496048,201650,51.7053801,-0.611415188,9,0,0,646,Metropolitan,July 8 1889,0.427
Chessington North,518415,164168,51.36424348,-0.300461767,6,0,0,0,,,
Chessington South,517974,163319,51.35670457,-0.307074661,6,0,0,0,,,
Chigwell,543835,193045,51.61785786,0.076193657,4,44,139,576,Central,November 21 1948,0.397
Chislehurst,543205,169405,51.4055984,0.057506196,5,0,0,0,,,
Chiswick,520438,177182,51.48078153,-0.266998924,3,0,0,0,,,
Chiswick Park,520352,178692,51.49437075,-0.26772252,3,10,113,3715,District,July 1 1879,1.946
Chorleywood,502596,196092,51.65426599,-0.518319474,7,89,188.3,1690,Metropolitan,July 8 1889,0.859
City Thameslink,531688,181150,51.51393508,-0.10360404,1,0,0,0,,,
Clapham Common,529428,175291,51.46180369,-0.13830051,2,21,100.8,13807,Northern,June 3 1900,8.974
Clapham High Street,529824,175709,51.46546953,-0.132450109,2,0,0,0,,,
Clapham Junction,527198,175520,51.4643668,-0.170300609,2,0,0,0,,,
Clapham North,530003,175652,51.46491623,-0.12989567,2,13,98.73,9258,Northern,June 3 1900,5.571
Clapham South,528782,174259,51.45267651,-0.14796968,2,28,110.12,11442,Northern,September 13 1926,7.534
Clapton,534748,186531,51.56156909,-0.057475035,2,0,0,0,,,
Clock House,536367,169545,51.40854057,-0.040687717,4,0,0,0,,,
Cobham and Stoke D'Abernon,512362,158925,51.31834724,-0.389021998,,0,0,0,,,
Cockfosters,528087,196424,51.6520245,-0.149902259,5,98,194,2483,Piccadilly,July 31 1933,1.675
Colindale,521295,189937,51.59523055,-0.250273109,4,49,144,5788,Northern,August 18 1924,4.092
Colliers Wood,526831,170436,51.41875921,-0.177400721,3,12,98.92,7922,Northern,September 13 1926,5.295
Coulsdon South,529869,159056,51.31580096,-0.137888744,6,0,0,0,,,
Covent Garden,530242,180982,51.51276025,-0.124492486,1,23,86.01,13039,Piccadilly,April 11 1907,18.71
Crayford,551479,174424,51.44854673,0.178517104,6,0,0,0,,,
Crews Hill,530973,200109,51.68447462,-0.106829638,6,0,0,0,,,
Crofton Park,536517,174739,51.4551793,-0.036532192,3,0,0,0,,,
Crossharbour and London Arena,537896,179301,51.49583998,-0.01491841,2,0,0,0,DLR (Lewisham Branch),August 31 1987,No Data
Crouch Hill,530586,187508,51.57132711,-0.117118858,3,0,0,0,,,
Croxley,507921,195395,51.64700533,-0.441589348,7,72,165.4,1303,Metropolitan,November 2 1925,0.778
Crystal Palace,534120,170557,51.41817036,-0.072592854,4,0,0,0,,,
Custom House,540679,180911,51.50962205,0.025786918,3,0,0,0,DLR (Beckton Branch),March 28 1994,No Data
Cutty Sark for Maritime Greenwich,538240,177764,51.48194447,-0.010567468,2,0,0,0,DLR (Lewisham Branch),December 3 1999,No Data
Cyprus,543324,180863,51.50852657,0.063855163,3,0,0,0,DLR (Beckton Branch),March 28 1994,No Data
Dagenham Dock,548900,183000,51.52628718,0.145045427,5,0,0,0,District,June 2 1902,2.162
Dagenham East,550284,185033,51.54418732,0.16584785,5,10,106.4,3344,District,September 12 1932,4.239
Dagenham Heathway,549035,184665,51.54121177,0.147694138,5,11,106.2,5718,,,
Dalston Junction,533580,184778,51.54609372,-0.074979786,2,0,0,0,,,
Dalston Kingsland,533487,185062,51.54866783,-0.076212502,2,0,0,0,,,
Dartford,554233,174379,51.44739962,0.218097936,,0,0,0,,,
Debden,544275,196133,51.64549199,0.083815925,6,37,136.4,3033,Central,September 25 1949,1.896
Denmark Hill,532697,176087,51.46820065,-0.090973475,2,0,0,0,,,
Deptford,537165,177395,51.47889009,-0.026181922,2,0,0,0,,,
Deptford Bridge,537466,176912,51.47447677,-0.022038032,4,0,0,0,DLR (Lewisham Branch),November 20 1999,No Data
Devons Road,537603,182233,51.52225847,-0.017993343,2,0,0,0,DLR (Stratford Branch),August 31 1987,No Data
