Station,,,,,,Ground Level outside Station,Mean,Annual Entry + Exit million,Line(s)[*],Opened[3],Usage[5]
Latimer Road,523789,180954,51.51395812,-0.217445257,2,8,114,3249,Hammersmith & City[m],December 16 1868,1.978
Lee,540002,174197,51.44945852,0.013379081,3,0,0,0,Circle,,
Leicester Square,529987,180812,51.5112912,-0.12822774,1,20,90.135,47307,Piccadilly,December 15 1906,35.556
Lewisham,538163,175863,51.46488071,-0.012418308,4,0,0,0,DLR (Lewisham Branch),November 11 1999,No Data
Leyton,538295,186244,51.55813227,-0.006450909,3,15,110,18307,Central,May 5 1947,12.345
Leyton Midland Road,538150,187490,51.56936424,-0.008051921,3,0,0,0,,,
Leytonstone,539345,187429,51.56852229,0.009154878,3,23.2,123.1,14792,Central,May 5 1947,9.7
Leytonstone High Road,539298,186903,51.56380734,0.008268893,3,0,0,0,,,
Limehouse,536150,181087,51.51231217,-0.039365669,2,0,0,0,DLR (Bank Branch),August 31 1987,No Data
Liverpool Street,533160,181596,51.51759827,-0.082235212,1,14,99.935,104503,Metropolitan[b],February 1 1875,60.908
London Bridge,532937,180152,51.50467436,-0.085991192,1,4,78.6025,89124,Northern,February 25 1900,61.495
London City Airport,542231,180294,51.50368966,0.047887121,3,0,0,0,DLR (Woolwich Arsenal Branch),December 2 2005,No Data
London Fields,534795,184212,51.54071885,-0.057685269,2,0,0,0,,,
Loughborough Junction,531902,175897,51.46667891,-0.102482948,2,0,0,0,,,
Loughton,542314,195641,51.64157047,0.055293528,6,27,129.6,4177,Central,November 21 1948,2.672
Lower Sydenham,536831,171372,51.42484685,-0.033315961,4,0,0,0,,,
Maida Vale,525967,182792,51.52999508,-0.185418233,2,31,116.58,4557,Bakerloo,June 6 1915,3.161
Malden Manor,521101,166497,51.38460957,-0.261106048,4,0,0,0,,,
Manor House,532074,187482,51.57074715,-0.09567055,4,38,119.51,13171,Piccadilly,September 19 1932,8.83
Manor Park,541929,185757,51.55285434,0.045738291,3,0,0,0,,,
Mansion House,532347,180962,51.51209176,-0.09418325,1,14,105,9408,District[i],July 3 1871,7.034
Marble Arch,527875,181056,51.51396551,-0.158556807,1,27,101.405,21129,Central,July 30 1900,16.619
Maryland,539175,184881,51.54566827,0.005696073,3,0,0,0,Bakerloo,March 27 1907,11.73
Marylebone,527510,181985,51.52239669,-0.163478152,1,29,106.37,18024,,,
Maze Hill,539194,177909,51.48301366,0.003219296,3,0,0,0,,,
Mile End,536577,182545,51.52531097,-0.032651672,2,12,104.775,18755,District[j],June 2 1902,13.522
Mill Hill Broadway,521300,191900,51.61287116,-0.249522629,4,0,0,0,,,
Mill Hill East,524057,191460,51.60831667,-0.209881274,4,65,170.8,1513,Northern,May 18 1941,1.043
Mitcham Eastfields,528488,169323,51.40838393,-0.153987343,3,0,0,0,,,
Mitcham Junction,528292,167611,51.39304259,-0.157422273,4,0,0,0,,,
Monument,532907,180814,51.51063043,-0.086173906,1,14.3,106.2,0,District[i],October 6 1884,40.655[6]
Moor Park,508563,193509,51.62993072,-0.432898582,6,57,161.5,1250,Metropolitan,May 9 1910,0.771
Moorgate,532688,181677,51.51843715,-0.089003278,1,14,98.62,41423,Metropolitan[b],December 23 1865,21.182
Morden,525664,168563,51.40218598,-0.194837608,4,18,113.6,9995,Northern,September 13 1926,6.982
Morden South,525301,167900,51.39630772,-0.20028719,4,0,0,0,,,
Mornington Crescent,529193,183359,51.53436223,-0.138729935,2,24,108.71,5830,Northern,June 22 1907,4.479
Mortlake,520458,175779,51.46816797,-0.26718892,3,0,0,0,,,
Motspur Park,522581,167724,51.39531966,-0.239425375,4,0,0,0,,,
Mottingham,542600,173197,51.43982497,0.050338588,4,0,0,0,,,
Mudchute,537908,178789,51.49123619,-0.014945543,2,0,0,0,DLR (Lewisham Branch),August 31 1987,No Data
Neasden,521415,185422,51.55462775,-0.250100624,3,38,132.2,4947,Jubilee[e],August 2 1880,2.854
New Barnet,526502,195996,51.64853679,-0.172955263,5,0,0,0,,,
New Beckenham,536718,170463,51.41670555,-0.035290571,4,0,0,0,,,
New Cross,536750,177110,51.47642942,-0.032264414,2,11,0,3922,,,
New Cross Gate,536250,176967,51.47526493,-0.039514655,2,13,0,4842,,,
New Eltham,544005,172999,51.43769065,0.070459003,4,0,0,0,,,
New Malden,521392,168612,51.40355594,-0.256203732,4,0,0,0,,,
New Southgate,528672,192218,51.61409368,-0.142995336,4,0,0,0,,,
Newbury Park,544947,188378,51.57563834,0.090317586,4,19,117,5083,Central,December 14 1947,3.93
Norbiton,519424,169495,51.41190939,-0.284185571,5,0,0,0,,,
Norbury,530650,169690,51.41118852,-0.122785025,3,0,0,0,,,
North Acton,520831,181937,51.52343246,-0.259715116,2,33,124.4,7988,Central,November 5 1923,4.716
North Dulwich,532950,174567,51.45448182,-0.087904291,4,0,0,0,,,
North Ealing,518816,181243,51.51762232,-0.288979143,3,36,132.5,1361,Piccadilly[h],June 23 1903,0.936
North Greenwich,539168,179827,51.50025515,0.003600664,2,2,86.46,25405,Jubilee,May 14 1999,18.103
North Harrow,513540,188578,51.58463134,-0.362618562,5,51,157,2407,Metropolitan,March 22 1915,1.449
North Sheen,519132,175442,51.46541965,-0.286383073,3,0,0,0,,,
North Wembley,517663,186198,51.56239633,-0.303933795,4,48,142,2144,Bakerloo,April 16 1917,1.467
Northfields,517051,179296,51.50049171,-0.315050414,3,24,119.3,6188,Piccadilly[l],April 16 1908,3.924
Northolt,513228,184519,51.54821295,-0.368426176,5,43,137.8,5278,Central,November 21 1948,3.737
Northolt Park,513829,185579,51.55761909,-0.359419774,5,0,0,0,Metropolitan,June 28 1923,3.617
Northwick Park,516634,187967,51.57850873,-0.318184963,4,56,157.9,5949,,,
Northwood,509236,191441,51.61121366,-0.423823347,6,77,171.6,3133,Metropolitan,September 1 1887,1.934
Northwood Hills,510267,190305,51.6008027,-0.409296922,6,71,165,2034,Metropolitan,November 13 1933,1.316
Norwood Junction,534001,168193,51.39695433,-0.075195484,4,0,0,0,,,
Notting Hill Gate,525296,180481,51.50937536,-0.195907211,1,28,109.64,23952,District[c],October 1 1868,17.365
Nunhead,535293,175975,51.46657999,-0.053665349,2,0,0,0,Central,,
Oakleigh Park,527001,194800,51.63767638,-0.166180519,4,0,0,0,Circle,,
Oakwood,529349,195968,51.64763798,-0.131839089,5,88,181.8,4068,Piccadilly,March 13 1933,2.915
Old Street,532764,182474,51.52558148,-0.087608545,1,17,91.99,29546,Northern,November 17 1901,19.608
Orpington,545500,165900,51.37352004,0.089043266,6,0,0,0,,,
Osterley,514529,177094,51.48121685,-0.352081698,4,30,124.2,3186,Piccadilly[l],May 1 1883,2.064
Oval,531108,177516,51.48141261,-0.113306677,2,4,88.28,8631,Northern,December 18 1890,5.792
Oxford Circus,529102,181227,51.51522342,-0.140821762,1,27,103.1433333,120295,Central,July 30 1900,73.971
Paddington,526680,181185,51.51539381,-0.175722343,1,25,116.8233333,57977,Hammersmith & City[d],January 10 1863,42.025
Palmers Green,530925,192798,51.61878676,-0.110258058,4,0,0,0,District,,
Park Royal,519074,182274,51.52683405,-0.284914505,3,47,142.2,2639,Piccadilly,June 23 1903,1.626
Parsons Green,525029,176645,51.47496018,-0.201110096,2,3,108,7749,District,March 1 1880,5.45
Peckham Rye,534152,176271,51.46951137,-0.069969158,2,0,0,0,,,
Penge East,535374,170791,51.41997536,-0.054480886,4,0,0,0,,,
Penge West,534952,170567,51.41806294,-0.060631386,4,0,0,0,,,
Perivale,516404,183270,51.53634186,-0.323056006,4,20,126.6,3089,Central,June 30 1947,2.031
Petts Wood,544440,167548,51.38859898,0.074494399,5,0,0,0,,,
Piccadilly Circus,529612,180625,51.50969676,-0.13369719,1,19,90.285,54443,Bakerloo,March 10 1906,38.567
Pimlico,529711,178386,51.48955288,-0.133093857,1,5,83.91,12927,Victoria,September 14 1972,8.392
Pinner,512233,189409,51.59236172,-0.381209357,5,54,153.5,3883,Metropolitan,May 25 1885,2.258
Plaistow,540058,183305,51.53128833,0.017795056,3,9,102.4,8844,District[j],June 2 1902,6.164
Plumstead,544803,178820,51.48979241,0.084314018,4,45,141.1,0,Hammersmith & City,,
Ponders End,536097,195599,51.6427307,-0.034510655,5,0,0,0,,,
Pontoon Dock,541226,180102,51.50221621,0.033340113,3,0,0,0,DLR (Woolwich Arsenal Branch),December 2 2005,No Data
Poplar,537698,180603,51.50758807,-0.017261086,2,0,0,0,DLR,August 31 1987,No Data
Preston Road,518260,187292,51.57210376,-0.294957586,4,0,0,4650,Metropolitan,May 21 1908,2.949
Prince Regent,541215,180905,51.50943455,0.033502981,3,0,0,0,DLR (Beckton Branch),March 28 1994,No Data
Pudding Mill Lane,537930,183585,51.53432786,-0.012754097,2,0,0,0,DLR (Stratford Branch),January 15 1996,No Data
Purley,531500,161497,51.33736357,-0.113599164,6,0,0,0,,,
Purley Oaks,532503,162594,51.34698935,-0.098800977,6,0,0,0,,,
Putney,523992,175061,51.46095256,-0.216588981,2,0,0,0,,,
Putney Bridge,524476,175842,51.46786536,-0.209351023,2,4,111,9082,District,March 1 1880,5.648
Queens Park,524612,183239,51.53431268,-0.204783734,2,38,132.4,0,Bakerloo,February 11 1915,5.286
Queens Road Peckham,535015,176825,51.47428472,-0.057340583,2,0,0,0,,,
Queensbury,518802,189728,51.59388301,-0.286317163,4,48,151.2,5064,Jubilee[e],December 16 1934,3.193
Queenstown Road,528763,176738,51.47495914,-0.147340916,2,0,0,0,,,
Queensway,525883,180615,51.51044926,-0.187405495,1,27,103.095,11697,Central,July 30 1900,8.479
Radlett,516375,199856,51.68541331,-0.317973171,,0,0,0,,,
Rainham,552097,182099,51.51734049,0.190706385,6,0,0,0,,,
Ravensbourne,538699,170201,51.41387038,-0.006923438,4,0,0,0,,,
Ravenscourt Park,522558,178711,51.49406801,-0.235954831,2,5,111,4318,District,June 1 1877,2.503
Rayners Lane,512979,187538,51.57539678,-0.371046386,5,55,148.8,6165,Metropolitan,May 26 1906,3.914
Raynes Park,523206,169303,51.40937537,-0.229898564,4,0,0,0,,,
Rectory Road,534001,186199,51.55876348,-0.068371242,2,0,0,0,Piccadilly[k],,
Redbridge,541833,188371,51.57636691,0.045408473,4,12,106.765,3562,Central,December 14 1947,2.555
Reedham,530835,160821,51.33144173,-0.123388273,6,0,0,0,,,
Regents Park,528765,182174,51.52381069,-0.145329999,1,28,103.185,0,Bakerloo,March 10 1906,3.272
Richmond,518072,175174,51.46323292,-0.301724741,4,8,107,10806,District,June 1 1877,7.601
Rickmansworth,505717,194605,51.64032307,-0.473670136,7,58,157.6,3112,Metropolitan,September 1 1887,1.904
Riddlesdown,532497,161001,51.33267484,-0.099479316,6,0,0,0,,,
Roding Valley,541612,192882,51.61695644,0.044040648,4,31,131.2,301,Central,November 21 1948,0.209
Romford,551377,188455,51.57464157,0.1830697,6,0,0,0,,,
Rotherhithe,535239,179870,51.50159451,-0.052951891,2,2,0,1933,,,
Royal Albert,542029,180823,51.50849386,0.045191552,3,0,0,0,DLR (Beckton Branch),March 28 1994,No Data
Royal Oak,525764,181485,51.51829438,-0.188809263,2,27,121,2424,Hammersmith & City[m],October 30 1871,1.765
Royal Victoria,540139,180833,51.50905523,0.01797982,3,0,0,0,DLR (Beckton Branch),March 28 1994,No Data
Ruislip,509510,187102,51.57216197,-0.421220499,6,46,145.6,2557,Metropolitan,July 4 1904,1.582
Ruislip Gardens,510367,185763,51.55996023,-0.409279688,5,37,141.5,1186,Central,November 29 1948,0.958
Ruislip Manor,510088,187258,51.57345162,-0.412834927,6,44,149.6,2356,Metropolitan,August 5 1912,1.56
Russell Square,530207,182122,51.52301305,-0.124575786,1,23,89.82,21155,Piccadilly,December 15 1906,14.045
Sanderstead,532855,162743,51.34824626,-0.093694143,6,0,0,0,,,
Selhurst,532993,167636,51.39218578,-0.089884667,4,0,0,0,,,
Seven Kings,545401,187095,51.56399334,0.096333999,4,0,0,0,,,
Seven Sisters,533646,188927,51.58336217,-0.072452392,3,11,92.99,20524,Victoria,September 1 1968,12.385
Shadwell,534936,180942,51.51130016,-0.056904799,2,11,0,2888,DLR (Bank Branch),August 31 1987,No Data
Shepherds Bush,523741,179904,51.50453218,-0.218504754,2,6,89.82,0,Central,July 30 1900,18.962
Shepherds Bush Market,523121,180039,51.50588074,-0.227386087,2,6,111.9,0,Hammersmith & City[m],June 13 1864,2.96
Shoreditch High Street,533501,182258,51.52346683,-0.077073013,1,13,0,0,Circle,resited 1 April 1914,
Shortlands,539399,169300,51.40560237,0.002781919,4,0,0,0,,,
Sidcup,546300,172698,51.43439844,0.103329743,5,0,0,0,,,
Silver Street,533544,192472,51.61524249,-0.072575301,4,0,0,0,,,
Slade Green,552250,176584,51.46774763,0.190532782,6,0,0,0,,,
Sloane Square,528080,178657,51.49235978,-0.156474456,1,6,97.6,21999,District[i],December 24 1868,14.417
Smitham,530098,159802,51.32245297,-0.134332709,6,0,0,0,Circle,,
Snaresbrook,540161,188828,51.58089127,0.021478358,4,22,127.4,3181,Central,December 14 1947,2.433
South Acton,520166,179279,51.49968586,-0.270200803,3,0,0,0,,,
South Bermondsey,535156,178319,51.48767662,-0.054740421,2,0,0,0,,,
South Croydon,532896,164358,51.36275021,-0.092503002,5,0,0,0,,,
South Ealing,517605,179437,51.50164406,-0.30702584,3,24,120.3,5380,Piccadilly[l],May 1 1883,3.342
South Hampstead,526425,184081,51.54147687,-0.178356783,2,0,0,0,,,
South Harrow,514334,186376,51.56468021,-0.351879546,5,61,166.8,3551,Piccadilly[h],June 28 1903,2.272
South Kensington,526865,178817,51.49407139,-0.173908621,1,7,93.115,43472,District[i],December 24 1868,28.243
South Kenton,517350,187153,51.57104449,-0.308128551,4,43,146.4,1321,Bakerloo,July 3 1933,0.853
South Merton,524917,168662,51.40324058,-0.205535927,4,0,0,0,DLR (Lewisham Branch),August 31 1987,No Data
South Quay,537636,179853,51.50086361,-0.018446288,2,0,0,0,Central,November 23 1948,1.607
South Ruislip,511080,185437,51.55689035,-0.399101488,5,37,141.4,2497,,,
South Tottenham,533697,188599,51.58040259,-0.071841527,3,0,0,0,Northern,September 13 1926,3.8
South Wimbledon,525828,170033,51.41536073,-0.191960168,4,14,101.32,5677,,,
South Woodford,540577,190026,51.59155261,0.027957512,4,28,128.8,6078,Central,December 14 1947,4.093
Southall,512620,179804,51.50595696,-0.378696784,4,0,0,0,,,
Southbury,534803,196199,51.64843373,-0.052968859,5,0,0,0,,,
Southfields,524730,173291,51.44488334,-0.206594999,3,23,117,8239,District,June 3 1889,5.511
Southgate,529675,194278,51.63237586,-0.127755601,4,71,160.23,7716,Piccadilly,March 13 1933,4.96
Southwark,531566,180025,51.50385363,-0.105780534,1,4,79.51,15114,Jubilee,September 24 1999,10.033
St Helier,525408,167191,51.38991219,-0.199000222,4,0,0,0,,,
St James Street,536402,188694,51.58060867,-0.032790132,3,0,0,0,,,
St Johns,537400,176298,51.4689753,-0.023226267,2,0,0,0,,,
St Margarets,516732,174250,51.45520603,-0.321309858,4,0,0,0,,,
St Mary Cray,546698,168298,51.39475939,0.107232271,6,0,0,0,,,
St Pancras,530122,182959,51.53055442,-0.125491368,1,0,0,0,,,
St. James's Park,529629,179503,51.49960981,-0.133864351,1,4,98.2,24666,District[i],December 24 1868,13.425
St. Johns Wood,526742,183352,51.53485443,-0.174050425,2,49,131.44,0,Jubilee[g],November 20 1939,6.523
St. Pauls,532105,181261,51.51483531,-0.097556592,1,17,92.59,0,Central,July 30 1900,14.155
Stamford Brook,521913,178738,51.49445,-0.245231907,2,5,111.4,4244,District,February 1 1912,2.433
Stamford Hill,533381,187928,51.57444761,-0.076653914,3,0,0,0,,,
Stanmore,517574,192569,51.61967348,-0.303084851,5,85,176.8,4496,Jubilee[e],December 10 1932,2.781
Star Lane,539148,182091,51.52060425,0.004205414,3,0,0,0,,,
Stepney Green,535566,182149,51.52199584,-0.047368112,2,10,102.82,6185,District[j],June 23 1902,4.138
Stockwell,530473,176470,51.47215927,-0.122831909,2,6,92.3,11067,Northern,December 18 1890,7.867
Stoke Newington,533710,186845,51.56463762,-0.07232097,2,0,0,0,Victoria,,
Stonebridge Park,519690,184197,51.54398659,-0.275386023,3,24,131.5,3429,Bakerloo,April 16 1917,2.396
Stoneleigh,522021,164155,51.36336408,-0.248695296,5,0,0,0,,,
Stratford,538533,184421,51.54169258,-0.003737223,3,4,105.6,38540,Central,December 4 1946,26.99
Stratford High Street,538729,184032,51.53814895,-0.00106594,3,0,0,0,,,
Stratford International,538175,184758,51.54480854,-0.008764015,3,0,0,0,,,
Strawberry Hill,515500,172502,51.43974787,-0.339603346,5,0,0,0,,,
Streatham,529946,171303,51.42584588,-0.132311116,3,0,0,0,,,
Streatham Common,529729,170534,51.41898469,-0.135711786,3,0,0,0,,,
Streatham Hill,530233,172714,51.43846038,-0.127667096,3,0,0,0,,,
Sudbury and Harrow Road,516853,185300,51.55449382,-0.31591182,4,0,0,0,,,
Sudbury Hill,515427,185584,51.5573396,-0.336377693,4,60,154.2,3512,,,
Sudbury Hill Harrow,515490,185697,51.55834231,-0.335432271,4,0,0,0,,,
Sudbury Town,516832,184955,51.55139748,-0.316329065,4,48,147.6,3829,Piccadilly[h],June 28 1903,2.161
Sundridge Park,540599,170200,51.4133938,0.020379486,4,0,0,0,,,
Surbiton,518070,167315,51.39259957,-0.304370189,6,0,0,0,,,
Surrey Quays,535641,178954,51.49326686,-0.047515585,2,2,0,3433,,,
Sutton,526028,163823,51.35950616,-0.191287651,5,0,0,0,,,
Sutton Common,525593,165598,51.37555472,-0.196905547,4,0,0,0,,,
Swiss Cottage,526611,184259,51.54303487,-0.175612186,2,57,140.11,11113,Jubilee[g],November 20 1939,6.649
Sydenham,535311,171609,51.42734126,-0.055074289,3,0,0,0,,,
Sydenham Hill,533548,172145,51.4325759,-0.080215825,3,0,0,0,,,
Syon Lane,516306,177163,51.48147473,-0.326480636,4,0,0,0,,,
Teddington,516019,170817,51.42449754,-0.332690957,6,0,0,0,,,
Temple,530995,180810,51.51104062,-0.113711342,1,5,99.2,13723,District[i],May 30 1870,9.642
Thames Ditton,515721,166818,51.38861611,-0.338278468,6,0,0,0,Central,September 25 1949,0.674
Theydon Bois,545509,199180,51.67255207,0.102905195,6,54,153.1,1076,,,
Thornton Heath,532242,168317,51.39848109,-0.100418793,4,0,0,0,,,
Tolworth,519834,165603,51.37684335,-0.279605749,5,0,0,0,,,
Tooting,527969,170591,51.41989665,-0.160988093,3,0,0,0,,,
Tooting Bec,528015,172366,51.43583808,-0.159686108,3,28,111.62,10667,Northern,September 13 1926,6.428
Tooting Broadway,527415,171373,51.42704916,-0.168670146,3,16,103.22,20276,Northern,September 13 1926,12.975
Tottenham Court Road,529774,181354,51.51621089,-0.131096029,1,25,97.235,58170,Central,July 30 1900,34.869
Tottenham Hale,534483,189465,51.58799779,-0.06017339,3,11,91.73,11935,Victoria,September 1 1968,7.753
Totteridge and Whetstone,526111,193951,51.63024674,-0.179339818,4,75,173.8,0,Northern,April 14 1940,1.777
Tower Gateway,533725,180809,51.51039265,-0.07439547,1,0,0,0,DLR (Tower Gateway Branch),August 31 1987,No Data
Tower Hill,533566,180805,51.51039428,-0.076686791,1,14,106.95,30416,District[i],September 25 1882,21.613
Tufnell Park,529200,185816,51.55644081,-0.137727753,2,44,123.29,4599,Northern,June 22 1907,3.696
Tulse Hill,531797,172903,51.43979744,-0.105108124,3,0,0,0,,,
Turkey Street,535129,198903,51.67265367,-0.047215472,6,0,0,0,,,
Turnham Green,521267,178804,51.49518197,-0.254510165,2,5,110.9,9342,District,June 1 1877,5.854
Turnpike Lane,531524,189650,51.59035815,-0.102790608,3,21,106.28,15284,Piccadilly,September 19 1932,9.619
Twickenham,516221,173687,51.45025099,-0.328845838,5,0,0,0,,,
Upminster,556167,186833,51.55876333,0.251415224,6,28,119.2,7628,District,June 2 1902,4.427
Upminster Bridge,555002,186681,51.55771877,0.234556311,6,15,119.3,1204,District,December 17 1934,0.865
Upney,545844,184260,51.53840563,0.101546161,4,12,106.3,3064,District,September 12 1932,1.874
Upper Holloway,529778,186630,51.56362332,-0.129094939,2,0,0,0,,,
Upper Warlingham,534100,158383,51.30877226,-0.077467317,6,0,0,0,,,
Upton Park,541204,183931,51.5366282,0.034556256,3,11,105.3,13454,District[j],June 2 1902,10.359
Uxbridge,505698,184161,51.54645456,-0.477087141,6,40,140.1,10517,Metropolitan,July 4 1904,6.753
Vauxhall,530366,177978,51.48573582,-0.123815553,1,4,86.28,28434,Victoria,July 23 1971,18.302
Victoria,528941,179131,51.49642397,-0.143906303,1,4.6,91.085,122344,District[i],December 24 1868,77.444
Waddon,531151,164828,51.36737927,-0.117379714,5,0,0,0,Circle,,
Wallington,528841,163985,51.36033156,-0.150849475,5,0,0,0,Victoria,,
Walthamstow Central,537286,188986,51.58301812,-0.019926114,3,24,106.8,20588,Victoria,September 1 1968,13.437
Walthamstow Queens Road,537020,188815,51.58154619,-0.023829513,3,0,0,0,,,
Wandsworth Common,527719,173530,51.44636562,-0.163522593,3,0,0,0,,,
Wandsworth Road,529354,176226,51.47022322,-0.139023281,2,0,0,0,,,
Wandsworth Town,525985,175119,51.4610341,-0.187895646,2,0,0,0,,,
Wanstead,540685,188176,51.57490215,0.0287749,4,29,109.635,3578,Central,December 14 1947,2.2
Wanstead Park,540592,185600,51.55177807,0.026404364,3,0,0,0,,,
Wapping,535030,180170,51.50434032,-0.055846409,2,4,0,2268,,,
Warren Street,529253,182272,51.52458001,-0.138263919,1,27,98.86,25283,Northern,June 22 1907,14.042
Warwick Avenue,526158,182030,51.52310446,-0.182938881,2,27,112.47,6264,Bakerloo,January 31 1915,4.231
Waterloo,531050,179933,51.50314665,-0.113244847,1,4,85.4,122204,Waterloo & City,March 10 1906,75.957
Watford,509579,196610,51.65760515,-0.417255553,7,70,164.8,2621,Metropolitan,November 2 1925,1.504
Watford High Street,511360,196098,51.65265375,-0.391682277,8,0,0,0,,,
Watford Junction,511023,197340,51.66388306,-0.396157501,,0,0,0,,,
Welling,546096,176073,51.46477708,0.101789432,4,0,0,0,,,
Wembley Central,518214,185039,51.55186482,-0.296377906,4,45,138.5,4874,Bakerloo,April 16 1917,4.228
Wembley Park,519373,186341,51.56332249,-0.279228128,4,41,136.7,16969,Metropolitan,May 12 1894,9.318
Wembley Stadium,518924,185366,51.55465461,-0.286032025,4,0,0,0,Central,November 5 1923,1.586
West Acton,519394,181273,51.51777018,-0.280642766,3,33,127.4,2439,,,
West Brompton,525383,178030,51.48732894,-0.195524412,2,7,102.04,6171,District,April 12 1869,3.715
West Croydon,532188,166098,51.37855219,-0.102019927,5,0,0,0,,,
West Drayton,506124,180122,51.51007128,-0.47216169,6,0,0,0,,,
West Dulwich,532798,173053,51.44091183,-0.090658291,3,0,0,0,,,
West Ealing,516690,180749,51.51362524,-0.319768546,3,0,0,0,,,
West Finchley,525507,191601,51.60926275,-0.188902671,4,78,177.3,1827,Northern,April 14 1940,1.185
West Ham,539202,182974,51.52852552,0.005331807,3,1,102.95,4673,District[j],June 2 1902,3.123
West Hampstead,525524,184726,51.54747436,-0.191112166,2,56,150.5,10285,Jubilee[e],June 30 1879,7.449
West Hampstead Thameslink,525423,184852,51.54862915,-0.1925231,2,0,0,0,,,
West Harrow,514163,187957,51.57892428,-0.353832268,5,53,157.5,1910,Metropolitan,November 17 1913,1.2
West India Quay,537471,180505,51.50676266,-0.020568041,2,0,0,0,DLR (Lewisham Branch),August 31 1987,No Data
West Kensington,524635,178321,51.49010939,-0.206189293,2,5,99.35,6949,District,September 9 1874,4.551
West Norwood,531956,171955,51.43124113,-0.103174752,3,0,0,0,,,
West Ruislip,508364,186791,51.56958792,-0.43784572,6,51,145.1,2005,Central,November 21 1948,1.496
West Silvertown,540455,180155,51.50288443,0.022260452,3,0,0,0,DLR (Woolwich Arsenal Branch),December 2 2005,No Data
West Sutton,525081,164539,51.36615016,-0.204630186,5,0,0,0,,,
West Wickham,538266,166563,51.3812842,-0.014561963,5,0,0,0,,,
Westbourne Park,524920,181764,51.52098887,-0.200868104,2,28,122.5,4148,Hammersmith & City[m],February 1 1866,2.899
Westcombe Park,540199,178103,51.48450889,0.0177601,3,0,0,0,Circle,resited 1 November 1871,
Westferry,537064,180814,51.50963815,-0.02630873,2,0,0,0,DLR (Bank Branch),August 31 1987,No Data
Westminster,530240,179718,51.50140161,-0.124987674,1,6,89.1475,27512,District[i],December 24 1868,19.08
White City,523296,180750,51.51223246,-0.224617523,2,7,105,12692,Central,November 23 1947,7.852
White Hart Lane,533693,191340,51.60503478,-0.070855889,3,0,0,0,,,
Whitechapel,534738,181859,51.51958779,-0.059406075,2,12,109.115,20192,District[j],October 1 1884,12.145
Whitton,514220,173568,51.44958823,-0.357667673,5,0,0,0,,,
Whyteleafe,533842,158505,51.30992933,-0.081120821,6,0,0,0,,,
Whyteleafe South,534169,157797,51.30348981,-0.076698172,6,0,0,0,Hammersmith & City,,
Willesden Green,523350,184884,51.54937331,-0.222393184,2,56,150.3,12843,Jubilee[e],November 24 1879,7.336
Willesden Junction,521905,182942,51.53223399,-0.243894729,3,40,134.5,5481,Bakerloo,May 10 1915,3.832
Wimbledon,524791,170647,51.42110787,-0.206648456,3,23,119.3,23623,District,June 3 1889,11.469
Wimbledon Chase,524306,169347,51.40953096,-0.214075394,3,0,0,0,,,
Wimbledon Park,525274,172158,51.43458098,-0.199171892,3,23,118.4,3127,District,June 3 1889,2.126
Winchmore Hill,531529,194494,51.63388687,-0.100902487,4,0,0,0,,,
Wood Green,531038,190427,51.59745374,-0.109512154,3,25,113.59,15942,Piccadilly,September 19 1932,10.84
Wood Lane,523314,180464,51.50965822,-0.224458201,2,6.7,113.1,0,Hammersmith and City,October 12 2008,3.1
Wood Street,538521,189426,51.58666994,-0.001939466,4,0,0,0,Circle,,
Woodford,540952,191778,51.60720184,0.034070641,4,32,131.1,6297,Central,December 14 1947,4.477
Woodgrange Park,541861,185332,51.54905253,0.044586916,3,0,0,0,Northern,April 12 1940,2.31
Woodmansterne,528720,159385,51.3190186,-0.154247781,6,0,0,0,,,
Woodside Park,525725,192564,51.61786842,-0.185411063,4,76,174.3,3466,,,
Woolwich Arsenal,543754,178803,51.48990711,0.069208308,4,0,0,0,DLR (Woolwich Arsenal Branch),January 10 2009,No Data
Woolwich Dockyard,542738,178908,51.49110779,0.05462675,3,0,0,0,,,
Worcester Park,522192,166133,51.38110452,-0.245560925,4,0,0,0,,,
